Date/Time,volts,amps,watts,volts.1,none,celsius,kilowatt-hours,watts.1,hertz,kilowatt-hours.1,watts.2,volts.2,volts.3,volts.4,volts.5,date/time,new_date/time
2025-01-19 12:50,413.130706787109,46.612007141113,33961.748046875,557.641235351562,0.0,59.050285339355,2.839999999997,33247.21484375,49.949272155762,2.839999999997,33247.21484375,413.130706787109,411.784027099609,414.980926513672,412.627166748047,2025-01-19 12:50:00,19/01/2025 12:50 PM
2025-01-19 12:55,415.060892740885,48.99893951416,36081.083984375,557.029846191406,0.0,59.876815795898,2.872000000003,35143.58203125,50.009841918945,2.872000000003,35143.58203125,415.060892740885,414.325225830078,416.586181640625,414.271270751953,2025-01-19 12:55:00,19/01/2025 12:55 PM
2025-01-19 13:00,414.974466959635,48.352836608887,35531.173828125,556.454020182292,0.0,60.362368265788,2.920000000013,34673.66796875,50.062480926514,2.920000000013,34673.66796875,414.974466959635,413.179992675781,417.657958984375,414.08544921875,2025-01-19 13:00:00,19/01/2025 01:00 PM
2025-01-19 13:05,417.385945638021,47.566898345947,35188.66015625,556.63720703125,0.0,60.448788960775,2.888000000006,34340.06640625,50.066932678223,2.888000000006,34340.06640625,417.385945638021,416.027557373047,419.695434570312,416.434844970703,2025-01-19 13:05:00,19/01/2025 01:05 PM
2025-01-19 13:10,417.124704996745,47.137275695801,34842.4833984375,559.17421468099,0.0,60.325152079264,2.823999999993,34033.09765625,50.022930145264,2.823999999993,34033.09765625,417.124704996745,415.264251708984,419.135589599609,416.974273681641,2025-01-19 13:10:00,19/01/2025 01:10 PM
2025-01-19 13:15,417.18955485026,46.977027893066,34709.75390625,558.81162516276,0.0,60.296432495117,2.831999999995,33876.390625,49.999210357666,2.831999999995,33876.390625,417.18955485026,415.394744873047,419.798522949219,416.375396728516,2025-01-19 13:15:00,19/01/2025 01:15 PM
2025-01-19 13:20,419.769226074219,42.687881469727,31679.3603515625,559.329508463542,0.0,59.626553853353,2.760000000009,30960.998046875,50.035263061523,2.760000000009,30960.998046875,419.769226074219,417.818603515625,422.639892578125,418.849182128906,2025-01-19 13:20:00,19/01/2025 01:20 PM
2025-01-19 13:25,411.005727132161,44.906311035156,32625.546875,556.9248046875,0.0,59.045817057292,2.61599999998,31933.4609375,50.046630859375,2.61599999998,31933.4609375,411.005727132161,408.964660644531,413.303924560547,410.748596191406,2025-01-19 13:25:00,19/01/2025 01:25 PM
2025-01-19 13:30,412.560150146484,47.256126403809,34491.126953125,556.46240234375,0.0,59.396469116211,2.736000000004,33673.328125,50.04817199707,2.736000000004,33673.328125,412.560150146484,409.806976318359,415.896942138672,411.976531982422,2025-01-19 13:30:00,19/01/2025 01:30 PM
2025-01-19 13:35,413.364400227865,45.088157653809,33003.6923828125,556.171122233073,0.0,59.357683817546,2.752000000008,32215.884765625,50.040802001953,2.752000000008,32215.884765625,413.364400227865,411.030822753906,416.268096923828,412.794281005859,2025-01-19 13:35:00,19/01/2025 01:35 PM
2025-01-19 13:40,412.803619384766,44.707370758057,32656.8779296875,557.250793457031,0.0,59.128234863281,2.679999999993,31905.67578125,50.027061462402,2.679999999993,31905.67578125,412.803619384766,410.911499023438,415.996398925781,411.502960205078,2025-01-19 13:40:00,19/01/2025 01:40 PM
2025-01-19 13:45,411.181284586588,44.325992584229,32225.32421875,559.29746500651,0.0,58.841064453125,2.664000000019,31488.328125,50.039863586426,2.664000000019,31488.328125,411.181284586588,409.835845947266,413.455749511719,410.252258300781,2025-01-19 13:45:00,19/01/2025 01:45 PM
2025-01-19 13:50,410.594787597656,43.335494995117,31483.8798828125,558.800008138021,0.0,58.203005472819,2.567999999999,30746.5703125,50.003402709961,2.567999999999,30746.5703125,410.594787597656,408.924743652344,413.04052734375,409.819091796875,2025-01-19 13:50:00,19/01/2025 01:50 PM
2025-01-19 13:55,412.309448242188,41.76432800293,30453.6162109375,559.106974283854,0.0,57.597028096517,2.51999999999,29768.638671875,50.057151794434,2.51999999999,29768.638671875,412.309448242188,411.090576171875,414.361267089844,411.476501464844,2025-01-19 13:55:00,19/01/2025 01:55 PM
2025-01-19 14:00,413.142018636068,41.102123260498,30060.9697265625,558.013753255208,0.0,57.101568857829,2.48000000001,29358.3515625,50.067886352539,2.48000000001,29358.3515625,413.142018636068,411.813812255859,415.391387939453,412.220855712891,2025-01-19 14:00:00,19/01/2025 02:00 PM
2025-01-19 14:05,408.712249755859,39.964435577393,28893.0048828125,557.455993652344,0.0,56.320861816406,2.383999999991,28209.029296875,50.065780639648,2.383999999991,28209.029296875,408.712249755859,407.553253173828,410.34375,408.23974609375,2025-01-19 14:05:00,19/01/2025 02:05 PM
