Date/Time,avg_3phase_voltage,avg_current,average_dc_power,average_dc_voltage,none,average_device_temperature,kilowatt-hours,watts,hertz,kilowatt-hours,watts,volts,volts,volts,volts
2025-01-14 13:45,89.108734130859,64702.4555664063,413.30810546875,593.922841389974,0,61.305887858073,5.023999999976,63409.32421875,50.025039672852,5.023999999976,63409.32421875,413.30810546875,413.66943359375,413.744598388672,412.510284423828
2025-01-14 13:50,85.89427947998,62384.3872070313,413.126627604167,595.660176595052,0,61.126659393311,4.992000000027,61159.8515625,50.034229278564,4.992000000027,61159.8515625,413.126627604167,413.599670410156,413.30859375,412.471618652344
2025-01-14 13:55,87.519973754883,63577.3525390625,413.295176188151,590.565114339193,0,61.270654042562,4.992000000027,62293.4296875,50.041488647461,4.992000000027,62293.4296875,413.295176188151,413.812194824219,413.508514404297,412.564819335938
2025-01-14 14:00,86.386367797852,62769.5952148438,413.738087972005,587.393351236979,0,61.193665822347,5.023999999976,61526.36328125,50.075046539307,5.023999999976,61526.36328125,413.738087972005,413.414031982422,414.059753417969,413.740478515625
2025-01-14 14:05,86.594947814941,62839.3403320313,412.652018229167,585.733978271484,0,61.162656148275,5.983999999997,61578.40234375,50.025802612305,5.983999999997,61578.40234375,412.652018229167,412.925445556641,412.581481933594,412.449127197266
2025-01-14 14:10,86.410537719727,62298.1049804688,410.756591796875,580.827392578125,0,61.210169474284,4.992000000027,61042.11328125,49.990600585938,4.992000000027,61042.11328125,410.756591796875,409.920043945312,411.530334472656,410.819396972656
2025-01-14 14:15,83.765098571777,60899.21484375,413.843048095703,582.72314453125,0,60.918459574382,5.023999999976,59692.8984375,50.04280090332,5.023999999976,59692.8984375,413.843048095703,413.297912597656,413.011077880859,415.220153808594
2025-01-14 14:20,82.286811828613,60071.4155273438,415.583760579427,582.057454427083,0,60.709959665934,4.991999999969,58933.78515625,50.024536132812,4.991999999969,58933.78515625,415.583760579427,414.506072998047,416.892639160156,415.352569580078
2025-01-14 14:25,82.768264770508,60283.1801757813,414.487111409505,577.320505777995,0,60.651421864827,4.992000000027,59108.5,50.002685546875,4.992000000027,59108.5,414.487111409505,413.950744628906,416.001281738281,413.509307861328
2025-01-14 14:30,81.618957519531,59279.8120117188,413.329650878906,576.321797688802,0,60.503776550293,4.992000000027,58122.53515625,50.01180267334,4.992000000027,58122.53515625,413.329650878906,413.171875,413.92041015625,412.896667480469
